A-n34-k5


NUMBER     CAPACITY 
  5         100 

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND     PICK UP 

    0       78         95         0           0           
    1       93         43         11          7            
    2       57         4          3          13            
    3       2          80         2          17      
    4       10         17         12         13       
    5       31         8          16         15       
    6       10         87         11         10      
    7       97         50         1          10       
    8       16         93         26          7       
    9       98         48         14         10      
   10      103         47         15         13       
   11       38          9         20         13        
   12      100         51         20         15       
   13       60         11         3          18       
   14       15         19         3          18       
   15       39         18         12         20       
   16      102         47         25         20      
   17      103         59         2          23     
   18       10         82         15         23       
   19       39          9         24          5       
   20       97         52         2          12       
   21       18         97         6          10       
   22       32         13         15          7       
   23       96         45         2           7     
   24       11         21         13          5     
   25       15         96         9          12   
   26       10         81         11         15   
   27       13         24         26         10    
   28       0          8          16          7    
   29      103         59         26          5   
   30       33         11         9           7   
   31       13         94         14         10   
   32       63         5          9          13   
   33       3          87         25         10   
   34       14         25         13          8 
